OSM-Key,Name,Stadt,Adresse,PLZ,Latitude,Longitude,Radius_m,Quelle,Gebaeudequelle
osm-way-46965878,Oniro,Wolfsburg,Hofekamp 7,38442,52.4159624918,10.7161368825,2.3,https://www.openstreetmap.org/way/46965878,https://www.openstreetmap.org/way/46965878
osm-node-51309038,Stadtbibliothek Linden,Hannover,Lindener Marktplatz 1,30449,52.3669072,9.7142682,2.0,https://www.openstreetmap.org/node/51309038,https://www.openstreetmap.org/way/237417738
osm-way-238887302,Landgasthof Sohnemann,Celle,Straßenkamp 4,29229,52.645855099100004,10.133481764899999,2.8,https://www.openstreetmap.org/way/238887302,https://www.openstreetmap.org/way/238887302
osm-way-248181945,Sportklause VfL Oker,Goslar,Försterwiese 13a,38642,51.8977438468,10.487611270250001,4.0,https://www.openstreetmap.org/way/248181945,https://www.openstreetmap.org/way/248181945
osm-way-111081348,Adriatic-Grill,Braunschweig,Berliner Heerstraße 59,38104,52.29098330125,10.597361043749999,2.5,https://www.openstreetmap.org/way/111081348,https://www.openstreetmap.org/way/111081348
osm-way-118710908,Pizza & Coffee Meynum,Wolfsburg,Detmeroder Markt 19,38444,52.392217086,10.7542612586,9.4,https://www.openstreetmap.org/way/118710908,https://www.openstreetmap.org/way/118710908
osm-node-7066027627,bona'me,Hannover,Am Hohen Ufer 5,30159,52.3735106,9.7301401,2.7,https://www.openstreetmap.org/node/7066027627,https://www.openstreetmap.org/way/549778535
osm-way-217478400,Vereinsheim Friedrichslust,Celle,Zum Kiebitzsee 1000,29225,52.59868145,10.0526829,3.6,https://www.openstreetmap.org/way/217478400,https://www.openstreetmap.org/way/217478400
osm-way-124781353,"Steinberg Alm ""Zum Rösner""",Goslar,Nonnenberg 11,38644,51.89893811475,10.397818950849999,6.4,https://www.openstreetmap.org/way/124781353,https://www.openstreetmap.org/way/124781353
osm-way-118906270,Gewürz Küche,Braunschweig,Ruhfäutchenplatz 2,38100,52.265787379,10.523719034749998,2.3,https://www.openstreetmap.org/way/118906270,https://www.openstreetmap.org/way/118906270
